Año,Trimestre,Provincia,Accesos por cada 100 hab,Accesos por cada 100 hogares
2014,1,Buenos Aires,16.692346018019,54.5700728794398
2014,1,CABA,42.6550716305864,112.254122789269
2014,1,Catamarca,6.1846145207766,24.2517512545856
2014,1,Chaco,5.55367146370263,20.7185388638408
2014,1,Chubut,12.7035901332393,41.2352180797243
2014,1,Corrientes,5.89170828868197,22.3167167138389
2014,1,Córdoba,16.1251831437494,52.5178475440063
2014,1,Entre Ríos,10.3022471048393,34.3671218212502
2014,1,Formosa,4.44446775479377,17.4184510793687
2014,1,Jujuy,4.72430277882911,18.4153524468777
2014,1,La Pampa,15.9940619540067,48.425321038282
2014,1,La Rioja,4.35317490004406,16.2941048158375
2014,1,Mendoza,8.93331832282328,31.9131229866058
2014,1,Misiones,6.32316098194971,23.1365386484773
2014,1,Neuquén,14.8822657665075,49.7916051913856
2014,1,Río Negro,13.867842232252,44.9139571317885
2014,2,Buenos Aires,16.7949254349917,55.0614169514339
2014,2,CABA,42.9747769614274,113.14335247541
2014,2,Catamarca,6.28435543538314,24.7031188600584
2014,2,Chaco,5.60212756727661,20.9579963674944
2014,2,Chubut,12.6962893613957,41.4102098199126
2014,2,Corrientes,5.94526705446853,22.5756130032436
2014,2,Córdoba,16.3654084204053,53.448126115626
2014,2,Entre Ríos,10.3720720658694,34.6874323714598
2014,2,Formosa,4.46486967289597,17.5404117548517
2014,2,Jujuy,4.78409543407859,18.7060609994136
2014,2,La Pampa,16.3790489033622,49.7075961603446
2014,2,La Rioja,4.39338341878784,16.5025648163457
2014,2,Mendoza,8.95860097015214,32.0982381502412
2014,2,Misiones,6.36580742599405,23.3677476012998
2014,2,Neuquén,15.1375680294983,50.8427490584487
2014,2,Río Negro,13.9465694232689,45.3349103201463
2014,2,Salta,7.00401550152647,28.9145940008629
2014,2,San Juan,7.07777106262497,27.7826978179589
2014,2,San Luis,2.78151226486048,9.71791019987182
2014,2,Santa Cruz,8.7446731811569,29.3770071530543
2014,2,Santa Fe,15.2169574282303,48.3903513867014
2014,2,Santiago Del Estero,4.14368314793901,16.6955673473544
2014,2,Tierra Del Fuego,19.0863143365562,64.3560451715994
2014,2,Tucumán,8.40948858817327,33.9445268856823
2014,3,Buenos Aires,17.262998432341,56.754739164071
2014,3,CABA,43.2063995929272,113.800512332415
2014,3,Catamarca,6.26989025279194,24.7061213053276
2014,3,Chaco,5.62775722230021,21.1126667052624
2014,3,Chubut,12.3882340714514,40.5986709442745
2014,3,Corrientes,5.98628267191169,22.7875350351524
2014,3,Córdoba,16.5601374978714,54.2336102829994
2014,3,Entre Ríos,10.4338264358501,34.981647333713
2014,3,Formosa,4.51292526712683,17.7713148314683
2014,3,Jujuy,4.68339443034039,18.3685342155704
2014,3,La Pampa,18.3375340019153,55.7812017385042
2014,3,La Rioja,4.37903587474791,16.5067132740672
2014,3,Mendoza,8.99223693701461,32.3131795616557
2014,3,Misiones,6.39977366685188,23.5673569543455
2014,3,Neuquén,16.7266886493093,56.3954110270698
2014,3,Río Negro,14.1599328062096,46.1961871578301
2014,3,Salta,7.05354927369401,29.2226843537979
2014,3,San Juan,7.07524804156139,27.8542444781027
2014,3,San Luis,2.77005134128578,9.71121075967275
2014,3,Santa Cruz,8.34323913237982,28.231942904275
2014,3,Santa Fe,15.4379886546179,49.1958844455727
2014,3,Santiago Del Estero,4.08216959029359,16.4922039083019
2014,3,Tierra Del Fuego,19.3443922627806,65.6861020447619
2014,3,Tucumán,8.38167843005843,33.9437558222181
2014,4,Buenos Aires,17.0147634301905,56.0943365301975
2014,4,CABA,43.6046206766365,114.896765508016
2014,4,Catamarca,6.45925498005949,25.513779082748
2014,4,Chaco,5.81368220415458,21.8707832002322
2014,4,Chubut,12.2235557846192,40.2492746845027
2014,4,Corrientes,6.17465506597043,23.5624309927751
2014,4,Córdoba,16.6557073313017,54.696896793323
2014,4,Entre Ríos,10.7183280951834,36.0254708519679
2014,4,Formosa,4.5491629692892,17.9563113616952
2014,4,Jujuy,4.98200351211736,19.5994181805212
2014,4,La Pampa,16.8165246239874,51.2731334522286
2014,4,La Rioja,4.49690190272523,17.0107508872361
2014,4,Mendoza,9.05637770520934,32.6383818761503
2014,4,Misiones,6.54066222204155,24.1624306055883
2014,4,Neuquén,15.5286641207705,52.5549896972496
2014,4,Río Negro,13.8895301858479,45.478062751204
2014,4,Salta,7.10378588301479,29.534861619578
2014,4,San Juan,7.10096175461973,28.0371457145607
2014,4,San Luis,2.7819569555272,9.7863933663512
2014,4,Santa Cruz,8.15757414246012,27.8026789696523
2014,4,Santa Fe,15.6575328569008,49.9996230234827
2014,4,Santiago Del Estero,4.26296198713424,17.2692015836451
2014,4,Tierra Del Fuego,19.3418822807275,66.1378194733832
2014,4,Tucumán,8.69321535229523,35.3208751693282
2015,1,Buenos Aires,17.241393436944,56.3704843302674
2015,1,CABA,43.658724990074,114.896997148903
2015,1,Catamarca,6.40301699079434,25.1094663307876
2015,1,Chaco,7.14308917535775,26.6495912203056
2015,1,Chubut,11.5857987745568,37.6127806859079
2015,1,Corrientes,7.64256876399628,28.9501912819093
2015,1,Córdoba,16.7936219024859,54.6973465018821
2015,1,Entre Ríos,12.6093360869829,42.0651933735121
2015,1,Formosa,4.62384901660949,18.1227036739718
2015,1,Jujuy,5.05087991347104,19.6897136326236
2015,1,La Pampa,18.332348933632,55.5080323273377
2015,1,La Rioja,4.46232446314409,16.7032017874138
2015,1,Mendoza,9.05923641753412,32.3658875605183
2015,1,Misiones,7.18848302796675,26.3056041051906
